EIN,org_name,city,state,tier,funnel_stage,classification_ruling,canonical_name_token_match,placename_risk_flag,confidence_tier,bmf_revenue_amt,tribe_canonical_name,cedar_uid
453221112,AHTNA INTERTRIBAL RESOURCE COMMISSION,GLENNALLEN,AK,full_990,verified_strict,UNRULED,"Ahtna, Incorporated",,A,1694193,"Ahtna, Incorporated",CE-00076-76
232025143,LENAPE CHAMBER ENSEMBLE,PIPERSVILLE,PA,990_EZ,verified_strict,UNRULED,Lenape Indian Tribe of Delaware,,A,135335,,
845021722,CHEROKEE HEIGHTS ARTS FESTIVAL,MARIETTA,GA,990_N,canonical_name_match,UNRULED,Cherokee Nation,REVIEW,B,0,,
456022936,FARMERS EDUCATIONAL & COOPERATIVE UNION OF AMERICA NORTH DAKOTA DIV,JAMESTOWN,ND,990_N,canonical_name_match,UNRULED,Hydaburg,HIGH,B,,,
451447963,CHEROKEE REMOVAL PARK - BLYTHE FERRY INC,BIRCHWOOD,TN,990_N,canonical_name_match,UNRULED,Cherokee Nation,REVIEW,B,0,,
934246522,HFHMD NAVAJO BUILDING QALICB INC,DENVER,CO,full_990,excluded_by_prior_ruling,UNRULED,Navajo,,X,150336,,
486121593,WICHITA GEM & MINERAL SOCIETY,WICHITA,KS,990_N,excluded_by_prior_ruling,UNRULED,Wichita,,X,0,,
201673162,CHARTWELL CHEROKEE PROJECT GRADUATION,MARLTON,NJ,990_N,excluded_by_prior_ruling,UNRULED,Cherokee Nation,REVIEW,X,0,,
736104476,VETERANS OF FOREIGN WARS CHEROKEE NATIONS POST 3698 WESTVILLE OK,WESTVILLE,OK,990_N,excluded_by_prior_ruling,UNRULED,Cherokee Nation,REVIEW,X,0,,
460324210,SOUTH DAKOTA HALL OF FAME,CHAMBERLAIN,SD,full_990,excluded_by_prior_ruling,UNRULED,Cheyenne River Sioux Tribe,,X,877411,,
