identifier_type,identifier,tribe_id,canonical_name,legal_business_name,entity_class,attribution_method,confidence_tier,tier_rationale,is_authority,exclusion_id,exclusion_evidence,evidence_url,verified_date,state,prime_dollars_M,source_file,joint_ownership_flag,joint_ownership_note,evidence_source_file,evidence_url_integrity,cedar_uid
UEI,WVJKC2L1ZN11,TRBF-CSKTFR-00,Confederated Salish,S And K Aerospace Incorporated,Federally recognized tribe,hand,A,"Corrected 2026-08-06: S&K family is owned by CSKT (Montana), not the Kootenai Tribe of Idaho. S&K's own site: ""The S&K Family of Companies is committed to ... deliver the maximum dividend to our shareholder, the Confederated Salish and Kootenai Tribes."" https://www.skaerospace.com/ retrieved 2026-08-06. Address St. Ignatius MT 59865, Flathead Reservation.",YES,,,,2026-04-27,MT,3079.505,master_tribal_entity_registry.csv,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0013X-1E
UEI,XQJMR89SR6J7,TRBF-WNNBGO-00,Winnebago,Hci Management Services Company,Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,,2026-04-27,NE,609.81,master_tribal_entity_registry.csv,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-001C8-GH
UEI,DUD8NGZXUJ75,TRBF-CHKNAT-00,Cherokee Nation,"Cherokee Nation Technology Solutions, L.L.C.",Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,,2026-04-27,OK,464.835,master_tribal_entity_registry.csv,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-00134-BX
UEI,U8ZSN9MATNB7,TRBF-CHKNAT-00,Cherokee Nation,Southeast Cherokee Constructio,Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,,2026-04-27,AL,375.327,master_tribal_entity_registry.csv,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-00134-BX
UEI,HYN1DTGG8LD7,TRBF-CHKSWN-00,The Chickasaw Nation,"Cni Global Solutions, Llc",Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,,2026-04-27,OK,313.882,master_tribal_entity_registry.csv,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-00135-HP
UEI,CEKMK8UYT429,TRBF-PNBSCT-00,Penobscot,Federal Program Integrators,Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,,2026-04-27,ME,298.549,master_tribal_entity_registry.csv,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0018D-TE
UEI,LLK6MNEEK7A8,ANRC-BRBYCO-00,Bristol Bay Native Corporation,"Bristol Site Contractors, Llc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,AK,58.629,master_tribal_entity_registry.csv,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA
UEI,YKTMUQUJFA81,ANRC-BRBYCO-00,Bristol Bay Native Corporation,"Bristol Site Contractors, Llc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,CO,16.472,master_tribal_entity_registry.csv,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA
UEI,E9LBLGQ3FUU7,ANRC-BRBYCO-00,Bristol Bay Native Corporation,"Bristol Communication & Power Systems, Llc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,AK,4.434,master_tribal_entity_registry.csv,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA
UEI,NJMNXLHN3JU8,ANRC-BRBYCO-00,Bristol Bay Native Corporation,Bristol Bay Contractors,Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,AK,0.071,master_tribal_entity_registry.csv,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA
