bill_id,congress,chamber,number,title,policy_area,bill_scope,affected_entities,sponsor,introduced_date,latest_action,outcome,companion_bill_id,bill_type,sponsor_bioguide_id,latest_action_date,cosponsor_count,n_rollcalls,has_rollcall,bill_scope_basis,outcome_basis,companion_basis,classification_source,classification_kappa,record_basis,build_date,pre_2000_flag,floor_basis_field,has_resolved_entity,n_entities_resolved,entity_cedar_uids,entity_names,entity_link_tiers,entity_link_basis,entity_class_scope,n_entity_classes,entity_class_scope_basis
103-hr-2366,103,House,2366,Jena Band of Choctaw Indians of Louisiana Confirmation Act,Native Americans,tribe-specific,,"Rep. Baker, Richard H. [R-LA-6]",1993-06-10,Forwarded by Subcommittee to Full Committee (Amended) by Voice Vote.,died-in-committee,103-s-1078,hr,B000072,1993-11-08,5.0,0,0,spine_name_match:Jena Band of Choctaw Indians,"native_bill_actions.csv, the most final action in this bill's full history (1993-07-22): ""Subcommittee Hearings Held.""; disposition=committee-acted-never-reported derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02. NOTE: `died-in-committee` is imprecise here - this bill DID leave committee. The precise value is disposition=committee-acted-never-reported in native_bill_outcomes.csv",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,1,introduced_date,1,1,CE-0015H-32,Jena,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
103-hr-4757,103,House,4757,Confederated Tribes of the Colville Reservation Grand Coulee Dam Settlement Act,Native Americans,tribe-specific,,"Rep. Miller, George [D-CA-7]",1994-07-14,Became Public Law No: 103-436.,enacted,103-s-2259,hr,M000725,1994-11-02,4.0,0,0,spine_name_match:Confederated Tribes of the Colville Reservation,"native_bill_actions.csv, the most final action in this bill's full history (1994-11-02): ""Became Public Law No: 103-436.""; disposition=enacted derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,1,introduced_date,1,1,CE-0013K-5M,Confederated Colville,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
103-s-2259,103,Senate,2259,Confederated Tribes of the Colville Reservation Grand Coulee Dam Settlement Act,Native Americans,tribe-specific,,"Sen. Murray, Patty [D-WA]",1994-06-30,Sponsor introductory remarks on measure. (CR S15171),died-in-committee,103-hr-4757,s,M001111,1994-11-30,4.0,0,0,spine_name_match:Confederated Tribes of the Colville Reservation,"native_bill_actions.csv, the most final action in this bill's full history (1994-09-20): ""Placed on Senate Legislative Calendar under General Orders. Calendar No. 614.""; disposition=placed-on-calendar-never-voted derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02. NOTE: `died-in-committee` is imprecise here - this bill DID leave committee. The precise value is disposition=placed-on-calendar-never-voted in native_bill_outcomes.csv",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,1,introduced_date,1,1,CE-0013K-5M,Confederated Colville,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
104-s-1264,104,Senate,1264,Crow Creek Sioux Tribe Infrastructure Development Trust Fund Act of 1996,Native Americans,tribe-specific,,"Sen. Daschle, Thomas A. [D-SD]",1995-09-20,Placed on Senate Legislative Calendar under General Orders. Calendar No. 581.,died-in-committee,104-hr-2512,s,D000064,1996-09-09,,0,0,spine_name_match:Crow Creek,"native_bill_actions.csv, the most final action in this bill's full history (1996-09-09): ""Placed on Senate Legislative Calendar under General Orders. Calendar No. 581.""; disposition=placed-on-calendar-never-voted derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02. NOTE: `died-in-committee` is imprecise here - this bill DID leave committee. The precise value is disposition=placed-on-calendar-never-voted in native_bill_outcomes.csv",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,1,introduced_date,1,1,CE-0013V-NW,Crow Creek,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
105-s-1899,105,Senate,1899,Chippewa Cree Tribe of the Rocky Boy's Reservation Indian Reserved Water Rights Settlement Act of 1998,Native Americans,general,,"Sen. Baucus, Max [D-MT]",1998-04-01,Committee on Indian Affairs. Incorporated the text of this bill into the amendment in the nature of a substitute to S. 1771 ordered favorably reported.,died-in-committee,105-hr-3658,s,B000243,1998-09-16,1.0,0,0,no_specific_entity_matched,"native_bill_actions.csv, the most final action in this bill's full history (1998-09-16): ""Committee on Indian Affairs. Incorporated the text of this bill into the amendment in the nature of a substitute to S. 1771 ordered favorably reported.""; disposition=reported-from-committee-never-voted derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02. NOTE: `died-in-committee` is imprecise here - this bill DID leave committee. The precise value is disposition=reported-from-committee-never-voted in native_bill_outcomes.csv",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,1,introduced_date,1,1,CE-0019D-ZY,Chippewa-Cree,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
106-hr-795,106,House,795,Chippewa Cree Tribe of the Rocky Boy's Reservation Indian Reserved Water Rights Settlement and Water Supply Enhancement Act of 1999,Native Americans,general,,"Rep. Hill, Rick [R-MT-At Large]",1999-02-23,Received in the Senate and read twice and referred to the Committee on Indian Affairs.,passed-one-chamber,106-s-438,hr,H000605,1999-10-19,3.0,0,0,no_specific_entity_matched,"native_bill_actions.csv, the most final action in this bill's full history (1999-10-18): ""Passed/agreed to in House: On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote.""; disposition=passed-one-chamber derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,1,introduced_date,1,1,CE-0019D-ZY,Chippewa-Cree,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
106-s-421,106,Senate,421,Gila River Indian Community-Phelps Dodge Corporation Water Rights Settlement Act of 1999,Native Americans,tribe-specific,,"Sen. Kyl, Jon [R-AZ]",1999-02-11,Read twice and referred to the Committee on Indian Affairs.,died-in-committee,106-hr-1944,s,K000352,1999-02-11,,0,0,spine_name_match:Gila River,"native_bill_actions.csv, the most final action in this bill's full history (1999-02-11): ""Read twice and referred to the Committee on Indian Affairs.""; disposition=referred-and-died-in-committee derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,1,introduced_date,1,1,CE-0014N-PP,Gila River,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
107-s-2567,107,Senate,2567,Spokane Tribe of Indians of the Spokane Reservation Grand Coulee Dam Equitable Compensation Settlement Act,Native Americans,general,,"Sen. Murray, Patty [D-WA]",2002-05-23,Read twice and referred to the Committee on Indian Affairs. (text of measure as introduced: CR S4861-4862),died-in-committee,107-hr-4859,s,M001111,2002-05-23,2.0,0,0,no_specific_entity_matched,"native_bill_actions.csv, the most final action in this bill's full history (2002-05-23): ""Read twice and referred to the Committee on Indian Affairs. (text of measure as introduced: CR S4861-4862)""; disposition=referred-and-died-in-committee derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,,introduced_date,1,1,CE-001AK-84,Spokane,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): policyArea=Native Americans"
108-hr-495,108,House,495,Zuni Indian Tribe Water Rights Settlement Act of 2003,Native Americans,general,,"Rep. Renzi, Rick [R-AZ-1]",2003-01-29,Forwarded by Subcommittee to Full Committee by Voice Vote.,died-in-committee,108-s-222,hr,R000574,2003-04-03,6.0,0,0,no_specific_entity_matched,"native_bill_actions.csv, the most final action in this bill's full history (2003-04-01): ""Subcommittee Hearings Held.""; disposition=committee-acted-never-reported derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02. NOTE: `died-in-committee` is imprecise here - this bill DID leave committee. The precise value is disposition=committee-acted-never-reported in native_bill_outcomes.csv",identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,2026-08-05,,introduced_date,1,1,CE-001CN-YP,Zuni,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): Indian Tribe"
111-hr-1061,111,House,1061,Hoh Indian Tribe Safe Homelands Act,Native Americans,tribe-specific,,"Rep. Dicks, Norman D. [D-WA-6]",2009-02-13,Became Public Law No: 111-323.,enacted,111-s-443,hr,D000327,2010-12-22,1.0,1,1,spine_name_match:Hoh Indian Tribe,"native_bill_actions.csv, the most final action in this bill's full history (2010-12-22): ""Became Public Law No: 111-323.""; disposition=enacted derived by code/73_bills_votes_completion.py, collapsed to the outcome vocabulary by code/1160 on 2026-09-02",identical_normalized_title_same_congress_opposite_chamber,two_coder_adjudicated_inherited_from_rollcall,0.952,congress_api_bill_metadata,2026-08-05,,introduced_date,1,1,CE-00151-3J,Hoh,A,"collapsed one-row-per-bill from data/clean/native_bills_entity_bridge.csv by code/1140 on 2026-09-02; match method(s) spine_name_in_title. Tiers are INHERITED from the bridge row and are not upgraded here. Several entities per bill are pipe-delimited, the same shape nagpra_notices ships.",Federally Recognized Tribe,1,"CLASS-LEVEL SCOPE, NOT AN ENTITY LINK. Promoted from data/clean/native_bills_entity_class.csv by code/1140 on 2026-09-02; that table asserts NO tribe_id and says so on every row. It records which CLASS of Native entity a statute or programme applies to as a whole. Do NOT read it as an attribution to any individual entity, and do NOT count it toward linkage coverage - the named-entity link is `entity_tribe_ids` / `has_resolved_entity`. Matched phrase(s): Indian Tribe"
